step,train_loss,valid_loss,img_diff,hard_valid_loss,hard_img_diff 
888,248.6148,NA,192.4215,NA,NA
891,NA,321.1140,261.7761,536.5269,450.2733
894,NA,322.1719,262.5067,538.7142,453.1100
894,247.2777,NA,192.4357,NA,NA
897,NA,320.4967,260.9219,531.3649,446.4030
900,NA,317.9381,258.6563,538.6174,452.1813
900,247.9908,NA,192.8365,NA,NA
903,NA,328.3045,268.2443,539.0274,452.5950
906,NA,320.2786,260.7109,555.0216,464.0938
906,247.1821,NA,191.7090,NA,NA
909,NA,322.2281,262.4954,548.5893,460.2765
912,NA,322.2460,262.8931,547.0887,457.7712
912,246.3618,NA,189.6857,NA,NA
915,NA,319.1897,260.3815,546.0457,457.3048
918,NA,314.5223,256.1337,550.8135,461.7076
918,248.5558,NA,193.5691,NA,NA
921,NA,324.3138,264.7712,541.4326,453.6035
924,NA,319.8650,260.7154,552.3751,461.8291
924,244.6574,NA,190.2448,NA,NA
927,NA,319.5579,261.3561,537.6337,452.5731
930,NA,319.7324,261.1422,546.9048,457.9926
930,248.5171,NA,193.7754,NA,NA
933,NA,316.3267,257.7440,541.4272,455.3463
936,NA,319.7081,260.9708,540.2672,453.7057
936,244.8851,NA,189.7036,NA,NA
939,NA,313.6196,255.0487,545.0405,457.0060
942,NA,319.1548,260.4932,540.5375,453.8736
942,247.0725,NA,192.6414,NA,NA
945,NA,319.1058,260.6888,555.0089,464.9113
948,NA,320.1353,261.4331,547.1368,459.5367
948,243.8642,NA,189.4769,NA,NA
951,NA,317.6112,259.6130,544.7124,457.3544
954,NA,317.7770,259.2038,550.7395,462.6800
954,243.3553,NA,189.5152,NA,NA
957,NA,320.1973,262.3162,539.6172,454.1135
960,NA,319.5124,261.2666,543.7467,457.3267
960,244.7450,NA,190.7411,NA,NA
963,NA,314.7083,257.3340,536.4579,452.1260
966,NA,316.6144,258.4283,545.9967,458.7601
966,245.9886,NA,191.9420,NA,NA
969,NA,318.8140,260.7815,541.6671,455.6209
972,NA,321.5479,263.2602,548.8947,460.7309
972,242.1724,NA,188.1469,NA,NA
975,NA,312.4490,254.7411,545.3832,459.2694
978,NA,316.8198,259.2441,544.2364,457.8619
978,245.5859,NA,191.4224,NA,NA
981,NA,320.2872,262.2592,541.6908,455.8131
984,NA,319.4803,261.9056,535.4009,450.8340
984,241.5950,NA,188.0491,NA,NA
987,NA,314.4298,257.3141,536.9500,452.8075
990,NA,314.5613,257.0198,542.2266,456.4261
990,245.4263,NA,191.1968,NA,NA
993,NA,320.5832,262.3905,547.3779,459.7457
996,NA,318.5054,261.2321,539.5181,454.4491
996,243.0125,NA,189.4108,NA,NA
999,NA,319.3073,261.7418,541.2045,455.9095
1002,NA,313.2006,256.4130,536.6083,452.3430
1002,243.0750,NA,188.7059,NA,NA
1005,NA,320.8130,262.5681,549.6960,461.3195
