step,train_loss,valid_loss,img_diff,hard_valid_loss,hard_img_diff 
978,NA,305.7221,253.1199,443.7859,374.8328
978,231.1817,NA,182.4124,NA,NA
981,NA,306.5638,254.3498,443.7634,374.9575
984,NA,306.6449,254.1298,443.7792,374.8865
984,233.9437,NA,185.1713,NA,NA
987,NA,307.1135,254.8382,444.2429,375.5126
990,NA,301.2878,249.9774,444.5893,376.2094
990,232.9898,NA,184.2551,NA,NA
993,NA,306.2499,254.4612,443.3709,374.7183
996,NA,307.4083,254.8114,443.6964,374.8377
996,233.7209,NA,184.7265,NA,NA
999,NA,306.3694,254.1662,442.6445,373.9084
1002,NA,304.4061,252.5108,443.8191,375.4164
1002,232.5532,NA,184.1481,NA,NA
1005,NA,305.6249,253.6528,443.9268,375.2332
1008,NA,305.5551,253.6188,442.1583,373.9127
